Date,Turbine flow (m^3/s)
1/1/2015,67
1/2/2015,218
1/3/2015,209
1/4/2015,66
1/5/2015,220
1/6/2015,224
1/7/2015,231
1/8/2015,223
1/9/2015,219
1/10/2015,144
1/11/2015,64
1/12/2015,222
1/13/2015,289
1/14/2015,239
1/15/2015,240
1/16/2015,298
1/17/2015,237
1/18/2015,65
1/19/2015,323
1/20/2015,310
1/21/2015,402
1/22/2015,365
1/23/2015,365
1/24/2015,304
1/25/2015,82
1/26/2015,386
1/27/2015,359
1/28/2015,376
1/29/2015,333
1/30/2015,303
1/31/2015,235
2/1/2015,69
2/2/2015,321
2/3/2015,245
2/4/2015,314
2/5/2015,276
2/6/2015,322
2/7/2015,329
2/8/2015,69
2/9/2015,274
2/10/2015,277
2/11/2015,277
2/12/2015,252
2/13/2015,273
2/14/2015,264
2/15/2015,67
2/16/2015,283
2/17/2015,69
2/18/2015,259
2/19/2015,279
2/20/2015,234
2/21/2015,184
2/22/2015,113
2/23/2015,347
2/24/2015,388
2/25/2015,379
2/26/2015,396
2/27/2015,405
2/28/2015,326
3/1/2015,165
3/2/2015,432
3/3/2015,424
3/4/2015,405
3/5/2015,386
3/6/2015,410
3/7/2015,204
3/8/2015,168
3/9/2015,285
3/10/2015,697
3/11/2015,673
3/12/2015,661
3/13/2015,712
3/14/2015,681
3/15/2015,424
3/16/2015,523
3/17/2015,561
3/18/2015,616
3/19/2015,588
3/20/2015,580
3/21/2015,640
3/22/2015,640
3/23/2015,535
3/24/2015,508
3/25/2015,559
3/26/2015,644
3/27/2015,610
3/28/2015,466
3/29/2015,156
3/30/2015,538
3/31/2015,332
4/1/2015,415
4/2/2015,353
4/3/2015,126
4/4/2015,355
4/5/2015,162
4/6/2015,424
4/7/2015,399
4/8/2015,106
4/9/2015,157
4/10/2015,158
4/11/2015,157
4/12/2015,155
4/13/2015,154
4/14/2015,287
4/15/2015,292
4/16/2015,428
4/17/2015,303
4/18/2015,52
4/19/2015,152
4/20/2015,397
4/21/2015,55
4/22/2015,306
4/23/2015,336
4/24/2015,55
4/25/2015,59
4/26/2015,54
4/27/2015,96
4/28/2015,141
4/29/2015,234
4/30/2015,83
5/1/2015,75
5/2/2015,75
5/3/2015,75
5/4/2015,265
5/5/2015,75
5/6/2015,72
5/7/2015,73
5/8/2015,73
5/9/2015,73
5/10/2015,73
5/11/2015,72
5/12/2015,73
5/13/2015,73
5/14/2015,123
5/15/2015,141
5/16/2015,191
5/17/2015,170
5/18/2015,166
5/19/2015,200
5/20/2015,245
5/21/2015,204
5/22/2015,201
5/23/2015,98
5/24/2015,74
5/25/2015,241
5/26/2015,295
5/27/2015,164
5/28/2015,75
5/29/2015,78
5/30/2015,74
5/31/2015,138
6/1/2015,209
6/2/2015,228
6/3/2015,257
6/4/2015,123
6/5/2015,241
6/6/2015,218
6/7/2015,87
6/8/2015,190
6/9/2015,150
6/10/2015,187
6/11/2015,185
6/12/2015,184
6/13/2015,107
6/14/2015,91
6/15/2015,183
6/16/2015,181
6/17/2015,181
6/18/2015,185
6/19/2015,201
6/20/2015,78
6/21/2015,78
6/22/2015,194
6/23/2015,187
6/24/2015,182
6/25/2015,250
6/26/2015,167
6/27/2015,64
6/28/2015,89
6/29/2015,116
6/30/2015,97
7/1/2015,9
7/2/2015,178
7/3/2015,180
7/4/2015,74
7/5/2015,130
7/6/2015,357
7/7/2015,454
7/8/2015,346
7/9/2015,185
7/10/2015,328
7/11/2015,323
7/12/2015,140
7/13/2015,297
7/14/2015,390
7/15/2015,350
7/16/2015,341
7/17/2015,231
7/18/2015,234
7/19/2015,108
7/20/2015,254
7/21/2015,259
7/22/2015,252
7/23/2015,272
7/24/2015,217
7/25/2015,135
7/26/2015,129
7/27/2015,215
7/28/2015,230
7/29/2015,240
7/30/2015,159
7/31/2015,224
8/1/2015,140
8/2/2015,146
8/3/2015,240
8/4/2015,233
8/5/2015,247
8/6/2015,73
8/7/2015,231
8/8/2015,192
8/9/2015,76
8/10/2015,240
8/11/2015,243
8/12/2015,134
8/13/2015,281
8/14/2015,263
8/15/2015,133
8/16/2015,75
8/17/2015,252
8/18/2015,231
8/19/2015,193
8/20/2015,197
8/21/2015,231
8/22/2015,187
8/23/2015,61
8/24/2015,216
8/25/2015,262
8/26/2015,258
8/27/2015,267
8/28/2015,257
8/29/2015,197
8/30/2015,71
8/31/2015,286
9/1/2015,306
9/2/2015,312
9/3/2015,329
9/4/2015,342
9/5/2015,319
9/6/2015,120
9/7/2015,129
9/8/2015,252
9/9/2015,208
9/10/2015,316
9/11/2015,328
9/12/2015,292
9/13/2015,149
9/14/2015,374
9/15/2015,380
9/16/2015,392
9/17/2015,362
9/18/2015,331
9/19/2015,297
9/20/2015,136
9/21/2015,333
9/22/2015,299
9/23/2015,311
9/24/2015,328
9/25/2015,340
9/26/2015,329
9/27/2015,136
9/28/2015,291
9/29/2015,316
9/30/2015,322
10/1/2015,493
10/2/2015,418
10/3/2015,551
10/4/2015,85
10/5/2015,553
10/6/2015,543
10/7/2015,475
10/8/2015,563
10/9/2015,568
10/10/2015,204
10/11/2015,88
10/12/2015,351
10/13/2015,525
10/14/2015,530
10/15/2015,517
10/16/2015,449
10/17/2015,403
10/18/2015,119
10/19/2015,267
10/20/2015,398
10/21/2015,407
10/22/2015,422
10/23/2015,428
10/24/2015,171
10/25/2015,83
10/26/2015,252
10/27/2015,357
10/28/2015,323
10/29/2015,333
10/30/2015,236
10/31/2015,309
11/1/2015,60
11/2/2015,110
11/3/2015,242
11/4/2015,236
11/5/2015,277
11/6/2015,238
11/7/2015,246
11/8/2015,193
11/9/2015,232
11/10/2015,287
11/11/2015,254
11/12/2015,256
11/13/2015,298
11/14/2015,300
11/15/2015,170
11/16/2015,312
11/17/2015,369
11/18/2015,444
11/19/2015,490
11/20/2015,410
11/21/2015,286
11/22/2015,55
11/23/2015,367
11/24/2015,493
11/25/2015,384
11/26/2015,498
11/27/2015,466
11/28/2015,431
11/29/2015,477
11/30/2015,504
12/1/2015,439
12/2/2015,509
12/3/2015,393
12/4/2015,417
12/5/2015,505
12/6/2015,547
12/7/2015,545
12/8/2015,541
12/9/2015,540
12/10/2015,539
12/11/2015,536
12/12/2015,536
12/13/2015,536
12/14/2015,586
12/15/2015,605
12/16/2015,589
12/17/2015,517
12/18/2015,537
12/19/2015,565
12/20/2015,194
12/21/2015,388
12/22/2015,398
12/23/2015,373
12/24/2015,80
12/25/2015,61
12/26/2015,339
12/27/2015,154
12/28/2015,566
12/29/2015,708
12/30/2015,718
12/31/2015,739
1/1/2016,712
1/2/2016,699
1/3/2016,707
1/4/2016,745
1/5/2016,737
1/6/2016,712
1/7/2016,685
1/8/2016,670
1/9/2016,714
1/10/2016,720
1/11/2016,693
1/12/2016,688
1/13/2016,706
1/14/2016,736
1/15/2016,735
1/16/2016,744
1/17/2016,745
1/18/2016,737
1/19/2016,737
1/20/2016,728
1/21/2016,733
1/22/2016,740
1/23/2016,738
1/24/2016,740
1/25/2016,725
1/26/2016,291
1/27/2016,485
1/28/2016,513
1/29/2016,519
1/30/2016,354
1/31/2016,406
2/1/2016,277
2/2/2016,257
2/3/2016,168
2/4/2016,132
2/5/2016,110
2/6/2016,61
2/7/2016,61
2/8/2016,60
2/9/2016,170
2/10/2016,402
2/11/2016,475
2/12/2016,323
2/13/2016,422
2/14/2016,260
2/15/2016,497
2/16/2016,510
2/17/2016,510
2/18/2016,510
2/19/2016,490
2/20/2016,480
2/21/2016,480
2/22/2016,493
2/23/2016,507
2/24/2016,518
2/25/2016,535
2/26/2016,537
2/27/2016,545
2/28/2016,528
2/29/2016,526
3/1/2016,521
